Gross Domestic Products Growth (Annual %),,,,,,,,,,,,,,,,,
Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,5.902659,5.983260,7.500041,3.354289,3.706938,2.545406,1.417243,1.002018,1.774449,2.218726,3.314981,3.802599,4.019346,2.087712,-3.302080,8.908528,4.844236
Denmark,3.913008,0.909239,-0.512020,-4.906550,1.870991,1.336778,0.226500,0.933341,1.619394,2.342591,3.245957,2.821736,1.989537,1.493487,-1.994610,4.855708,3.819018
India,8.060733,7.660815,3.086698,7.861889,8.497585,5.241315,5.456389,6.386106,7.410228,7.996254,8.256306,6.795383,6.453851,3.871437,-5.831050,9.050278,7.002952
Libya,6.500525,6.229983,-0.162050,-4.400180,5.027248,-50.338500,86.826750,-17.998000,-23.042800,-0.842660,-1.490940,32.491800,7.941368,-11.195700,-29.787100,31.372520,-1.236980
Maldives,26.111490,7.713867,9.485333,-7.228840,7.265129,8.566734,2.517384,7.281074,7.329626,2.884549,6.338301,7.209910,8.123129,7.097466,-33.492800,41.745100,12.299490
"Mexico, The",4.495078,2.291446,1.143585,-5.285740,5.118118,3.663008,3.642323,1.354092,2.849773,3.293152,2.630532,2.113129,2.194995,-0.199050,-7.987910,4.720565,3.062380
Peru,7.528899,8.518388,9.126568,1.095824,8.332459,6.327192,6.139725,5.852518,2.382157,3.252245,3.953319,2.518835,3.969351,2.240632,-10.869600,13.417530,2.683871
Poland,6.131136,7.061535,4.199981,2.832184,2.934638,5.042188,1.545222,0.856557,3.836958,4.383299,2.953509,5.140018,5.945208,4.450036,-2.020120,6.847761,4.874024
Sri Lanka,7.668292,6.796826,5.950088,3.538912,8.015967,8.669483,8.632181,4.051746,6.377979,4.205955,5.053625,6.460681,2.310084,-0.220480,-4.624520,3.512225,-7.823980
Thailand,4.967811,5.435152,1.725699,-0.690620,7.513391,0.840132,7.242796,2.687496,0.984469,3.134047,3.435158,4.177681,4.222870,2.114558,-6.066930,1.492095,2.594733
United States,2.782811,2.010508,0.122188,-2.599890,2.708857,1.549895,2.280688,1.841875,2.287776,2.706370,1.667472,2.241921,2.945385,2.294439,-2.767800,5.945485,2.061593
END
